Title,Price in Pounds,Category
Fighting Fate (Fighting #6),39.24,Romance
Emma,32.93,Classics
"Eat, Pray, Love",51.32,Nonfiction
Deep Under (Walker Security #1),47.09,Romance
Choosing Our Religion: The Spiritual Lives of America's Nones,28.42,Religion
Charlie and the Chocolate Factory (Charlie Bucket #1),22.85,Childrens
Charity's Cross (Charles Towne Belles #4),41.24,Romance
Bright Lines,39.07,Fiction
Bridget Jones's Diary (Bridget Jones #1),29.82,Womens Fiction
Bounty (Colorado Mountain #7),37.26,Romance
Blood Defense (Samantha Brinkman #1),20.3,Mystery
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,Sequential Art
Beyond Good and Evil,43.38,Philosophy
Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,Classics
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,Sequential Art
A Spy's Devotion (The Regency Spies of London #1),16.97,Historical Fiction
1st to Die (Women's Murder Club #1),53.98,Mystery
"1,000 Places to See Before You Die",26.08,Travel
